part,part_id,price,quantity,url
M3 hex nut,N/A,999,300,https://amzn.to/4hAnwjc
M3 hex cap bolt 6mm,N/A,726,100,https://amzn.to/3AwiZxo
M3 hex cap bolt 8mm,N/A,899,100,https://amzn.to/3YEvWNB
M3 hex cap bolt 12mm,N/A,836,100,https://amzn.to/48CGa5Y
M4 hex nut,N/A,999,300,https://amzn.to/4i5ESna
M4 hex bolt 25mm,N/A,919,50,https://amzn.to/3FW2EEG
M4 hex bolt 35mm,N/A,619,10,https://amzn.to/4j14SRQ
M4 hex bolt 40mm,N/A,639,10,https://amzn.to/4ikpYL8
M4 hex bolt 50mm,N/A,669,10,https://amzn.to/3FYyh0s
M3 sliding t slot nut,N/A,599,105,https://amzn.to/48GRrSU
2020 Aluminum extrusion mm,N/A,7399,12200,https://amzn.to/418OicC
100RPM DC geared motor with encoder,N/A,1619,1,https://amzn.to/3UF707G
250RPM DC geared motor,JSX40-370,1499,1,https://amzn.to/3NWkcRL
ESP32 Dev board,N/A,1999,3,https://amzn.to/3NXCvGj
L298N Motor driver module,N/A,1149,4,https://amzn.to/4ellssy
ESP32 GPIO breakout board,N/A,1199,2,https://amzn.to/3UFjpbO
608-RS Ball Bearing,608-RS,1779,100,https://amzn.to/4fKxDA7
5mm White LED,N/A,599,100,https://amzn.to/42AopCE
220 Ohm Resistor,N/A,599,100,https://amzn.to/3YlywJ7
